name,pts,ast,reb,blk,stl,sal,age,mp,fga
Precious Achiuwa,7.6,1.3,6.6,0.9,0.6,4379527.0,24,21.9,6.3
Bam Adebayo,19.3,3.9,10.4,0.9,1.1,32600060.0,26,34.0,14.3
Ochai Agbaji,5.8,1.1,2.8,0.6,0.6,4114200.0,23,21.0,5.6
Santi Aldama,10.7,2.3,5.8,0.9,0.7,2194200.0,23,26.5,9.3
Nickeil Alexander-Walker,8.0,2.5,2.0,0.5,0.8,4687500.0,25,23.4,6.6
Grayson Allen,13.5,3.0,3.9,0.6,0.9,8925000.0,28,33.5,9.1
Jarrett Allen,16.5,2.7,10.5,1.1,0.7,20000000.0,25,31.7,10.6
Jose Alvarado,7.1,2.1,2.3,0.3,1.1,1836096.0,25,18.4,6.2
Kyle Anderson,6.4,4.2,3.5,0.6,0.9,9219512.0,30,22.6,5.5
Giannis Antetokounmpo,30.4,6.5,11.5,1.1,1.2,45640084.0,29,35.2,18.8
Thanasis Antetokounmpo,0.9,0.5,0.4,0.1,0.2,2019706.0,31,4.6,0.9
Cole Anthony,11.6,2.9,3.8,0.5,0.8,5539771.0,23,22.4,9.4
OG Anunoby,14.7,2.1,4.2,0.7,1.4,18642857.0,26,34.0,11.5
Ryan Arcidiacono,0.0,0.2,0.4,0.0,0.1,2019706.0,29,2.3,0.3
Deni Avdija,14.7,3.8,7.2,0.5,0.8,6263188.0,23,30.1,10.7
Deandre Ayton,16.7,1.6,11.1,0.8,1.0,32459438.0,25,32.4,13.6
Marvin Bagley III,11.7,1.1,6.2,0.7,0.4,12500000.0,24,21.1,8.2
Patrick Baldwin Jr.,4.4,0.8,3.2,0.4,0.5,2337720.0,21,13.0,4.1
LaMelo Ball,23.9,8.0,5.1,0.2,1.8,10900635.0,22,32.3,19.2
Mo Bamba,4.4,0.7,4.2,1.1,0.4,2019706.0,25,13.0,3.5
Paolo Banchero,22.6,5.4,6.9,0.6,0.9,11608080.0,21,35.0,17.6
Desmond Bane,23.7,5.5,4.4,0.5,1.0,3845083.0,25,34.4,18.5
Dalano Banton,10.3,2.4,3.3,0.4,0.6,2019706.0,24,19.4,9.3
Dominick Barlow,4.4,1.1,3.4,0.4,0.4,455620.0,20,12.7,3.4
Harrison Barnes,12.2,1.2,3.0,0.1,0.7,17000000.0,31,29.0,8.9
Scottie Barnes,19.9,6.1,8.2,1.5,1.3,8008680.0,22,34.9,15.7
RJ Barrett,20.2,3.3,5.4,0.4,0.5,23883929.0,23,31.7,15.2
Charles Bassey,3.3,1.1,4.0,0.9,0.4,2600000.0,23,10.8,2.1
Keita Bates-Diop,3.7,0.7,2.1,0.4,0.5,2346614.0,28,12.5,3.1
Nicolas Batum,5.3,2.1,4.1,0.6,0.8,11710818.0,35,25.5,4.3
Darius Bazley,5.3,0.8,3.1,0.8,0.7,616075.0,23,16.9,3.3
Bradley Beal,18.2,5.0,4.4,0.5,1.0,46741590.0,30,33.3,13.9
Malik Beasley,11.3,1.4,3.7,0.1,0.7,2019706.0,27,29.6,9.1
MarJon Beauchamp,4.4,0.6,2.1,0.1,0.3,2609400.0,23,12.7,3.5
